
key,english_name,chinese_name,logo_asset_url,brand_colors_hex,notes,sources
netflix,Netflix,网飞,https://brand.netflix.com,#E50914;#221F1F;#FFFFFF,Netflix brand uses distinctive red (#E50914) with black (#221F1F) and white; the color palette is widely recognized and used across its logo and interface.,https://usbrandcolors.com/netflix-colors/;https://brand.netflix.com
spotify,Spotify,Spotify 音乐,https://developer.spotify.com/documentation/design#/branding-guidelines,#1DB954;#191414;#FFFFFF,Spotify's primary brand color is Spotify Green (#1DB954). Black (#191414) and white are used for contrast and backgrounds.,https://usbrandcolors.com/spotify-colors/;https://developer.spotify.com/documentation/design
youtube_premium,YouTube Premium,YouTube 高级版,https://brand.youtube,#FF0000;#282828;#FFFFFF,"YouTube's palette consists of YouTube Red (#FF0000), an almost black shade (#282828) and white. These colors are used consistently across the brand.",https://usbrandcolors.com/youtube-colors/;https://brand.youtube
hulu,Hulu,Hulu,https://thisishulu.com,#1CE783;#040405;#FFFFFF;#29A869,"Hulu's guidelines specify using Hulu Green (#1CE783) wherever possible. If placed on a green background, the logo may be black (#040405). A secondary green (#29A869) is used sparingly.",http://localhost:8451/https://assetshuluimcom-a.akamaihd.net/thisishulu/images/pdf/Hulu-Brand-Guidelines.pdf
disney_plus,Disney+,迪士尼+,https://press.disneyplus.com,#113CCF;#0A5C73;#FFFFFF,"Disney+ updated its branding in 2024, shifting from a gradient to a unified deep teal/blue palette. The logo commonly uses a dark blue (#113CCF) and teal (#0A5C73) with white lettering.",https://logos-world.net/disney-logo/
prime_video,Prime Video,Prime 视频,https://primevideo.com,#1399FF;#000000;#FFFFFF,Prime Video uses a bright blue (#1399FF) as its primary color alongside black and white. These values are approximations based on the Amazon Prime Blue palette.,https://www.brandcolorcode.com/amazon-prime-blue
paramount_plus,Paramount+,派拉蒙+,https://brand.paramount.com,#0060A3;#FFFFFF;#000000,Paramount+ uses Paramount blue (#0060A3) in its logos. White lettering or a white background is often paired with this blue.,https://www.paramountplus.com/
max,Max,Max 流媒体,https://press.max.com/brand-resources,#1A237E;#FFFFFF;#000000,Max (formerly HBO Max) uses a deep indigo or dark purple (#1A237E) and monochrome palette in its recent rebrand.,https://press.max.com
notion,Notion,Notion 笔记,https://www.notion.so/brand,#000000;#FFFFFF,"Notion’s brand is intentionally monochrome, primarily black on white, reflecting a minimalist design philosophy.",https://www.notion.so/brand
dropbox,Dropbox,Dropbox 云盘,https://brand.dropbox.com,#0061FF;#FFFFFF;#000000,Dropbox uses a strong blue (#0061FF) for its logo with white or black as supporting colors.,https://brand.dropbox.com
